"nctid","anticipated_enrollment","actual_enrollment","has_summary_results","has_publication","phase_recoded","has_publ_or_summary","source"
"NCT02697539",NA,74,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02799069",NA,571,TRUE,TRUE,"III",TRUE,"Intovalue"
"NCT02925377",NA,41,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT02935413",NA,14,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00152698",80,NA,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00510393",140,140,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00542048",20,20,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00669708",70,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00883623",50,50,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00947414",100,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01020630",90,91,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT01025050",72,58,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01029067",60,60,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01106365",36,36,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01319344",42,42,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT01401296",200,200,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT01593540",NA,39,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT02435056",NA,690,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00047099",446,NA,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00145132",30,30,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00170573",NA,82,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00170677",NA,194,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00170690",160,123,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00180167",NA,492,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00204334",60,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00204516",30,31,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00204542",418,418,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00204581",50,51,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00274742",45,76,TRUE,TRUE,"I",TRUE,"Intovalue"
"NCT00307450",34,NA,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00310492",140,154,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00344253",34,19,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00369018",96,NA,FALSE,TRUE,"I-II",TRUE,"Intovalue"
"NCT00373373",200,NA,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00398554",30,16,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00401453",15,NA,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00402532",180,190,FALSE,TRUE,"III",TRUE,"Intovalue"
"NCT00407667",96,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00411151",50,52,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT00425698",90,88,TRUE,TRUE,"II-III",TRUE,"Intovalue"
"NCT00431561",NA,141,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00434161",275,281,TRUE,TRUE,"III",TRUE,"Intovalue"
"NCT00453895",36,39,TRUE,TRUE,"II",TRUE,"Intovalue"
"NCT00461656",200,70,FALSE,TRUE,"IV",TRUE,"Intovalue"
"NCT00490984",30,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00507832",30,30,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00511446",56,56,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00521560",30,28,FALSE,TRUE,"II",TRUE,"Intovalue"
"NCT00531726",20,11,FALSE,TRUE,"Not given",TRUE,"Intovalue"
"NCT00538590",40,20,TRUE,TRUE,"IV",TRUE,"Intovalue"
"NCT00554151",50,NA,FALSE,TRUE,"Not given",TRUE,"Intovalue"
